POSTAL_CODE,CODE,YEAR,CITY,TITLE
DE-NI,XEHR,2024-6,HANNOVER,ZOOLOGICUM - DIE WELT DIE WISSEN SCHAFFTERLEBNIS ZOO HANNOVER Feuersalamander salamandra salamandra
DE-NI,XEHR,2025-7,HANNOVER,160 JAHRE ERLEBNIS ZOO HANNOVER160 JAHRE IM HERZEN VON HANNOVER
DE-NI,XEKB,2019-1,WALSRODE,WELTVOGELPARK WALSRODE
DE-NI,XEKB,2022-2,WALSRODE,WELTVOGELPARK WALSRODE
DE-NI,XEKB,2024-3,WALSRODE,WELTVOGELPARK WALSRODE
DE-NI,XEKG,2019-1,SOLTAU,HEIDE-PARK COLOSSOS - KAMPF DER GIGANTEN
DE-NI,XEKG,2022-1,SOLTAU,HEIDE-PARK COLOSSOS - KAMPF DER GIGANTEN
DE-NI,XEKJ,2024-1,TORFHAUS,HARZTURM - TORFHAUS
DE-NI,XEKM,2020-1,BRAUNSCHWEIG,UEFA EURO 2020OFFICIAL LICENSED PRODUCT
DE-NI,XEKM,2020-3,BRAUNSCHWEIG,UEFA EURO 2020
DE-NI,XEKM,2020-4,BRAUNSCHWEIG,UEFA EURO 2020
DE-NI,XEKM,2021-1,BRAUNSCHWEIG,UEFA EURO 2020OFFICIAL LICENSED PRODUCT
DE-NI,XEKM,2023-5,BRAUNSCHWEIG,UEFA EURO 2024OFFICIAL LICENSED PRODUCT
DE-NI,XEKM,2023-6,BRAUNSCHWEIG,UEFA EURO 2024OFFICIAL LICENSED PRODUCT
DE-NI,XEKM,2023-7,BRAUNSCHWEIG,UEFA EURO 2024OFFICIAL LICENSED PRODUCT
DE-NI,XEKM,2023-8,BRAUNSCHWEIG,UEFA EURO 2024OFFICIAL LICENSED PRODUCT
DE-NI,XEKU,2025-1,BAD HARZBURG,BAD HARZBURG
DE-NI,XEMC,2021-1,WANGEROOGE,NORDSEEHEILBAD WANGEROOGE
DE-NI,XEMQ,2020-1,KRUMMHÖRN,KRUMMHÖRN - GREETSIELCAMPENER LEUCHTTURM
DE-NI,XEMQ,2023-2,KRUMMHÖRN-GREETSIEL,KRUMMHÖRN - GREETSIELZWILLINGSMÜHLEN
DE-NI,XEMZ,2020-1,BRAUNSCHWEIG,ABSCHIED VON DER D-MARK
DE-NI,XEMZ,2020-10,BRAUNSCHWEIG,DER LETZTE TRABANT
DE-NI,XEMZ,2020-11,BRAUNSCHWEIG,DER LETZTE WARTBURG
DE-NI,XEMZ,2020-12,BRAUNSCHWEIG,DIE SCHWALBE
DE-NI,XEMZ,2020-13,BRAUNSCHWEIG,DIE DEUTSCHE NATIONALFLAGGE
DE-NI,XEMZ,2020-14,BRAUNSCHWEIG,DIE DEUTSCHE NATIONALHYMNE
DE-NI,XEMZ,2020-15,BRAUNSCHWEIG,DAS DEUTSCHE GRUNDGESETZ
DE-NI,XEMZ,2020-16,BRAUNSCHWEIG,DEUTSCHLANDS NEUE POSTLEITZAHLEN
DE-NI,XEMZ,2020-17,BRAUNSCHWEIG,DER DEUTSCH-POLNISCHE GRENZVERTRAG
DE-NI,XEMZ,2020-18,BRAUNSCHWEIG,DEUTSCHLANDS WÄHRUNGEN
DE-NI,XEMZ,2020-19,BRAUNSCHWEIG,DIE DEUTSCHEN BUNDESLÄNDER
DE-NI,XEMZ,2020-2,BRAUNSCHWEIG,DIE ALEXANDERPLATZ-DEMONSTRATION
DE-NI,XEMZ,2020-20,BRAUNSCHWEIG,DIE EINFÜHRUNG DES EURO
DE-NI,XEMZ,2020-21,BRAUNSCHWEIG,DER EINIGUNGSVERTRAG
DE-NI,XEMZ,2020-22,BRAUNSCHWEIG,DIE FREIE VOLKSKAMMERWAHL 1990
